"Date","Comp","Negative","Neutral","Positive","Adj.Close"
"2017-04-03",-0.96,0.183,0.817,0,33.7147064208984
"2017-04-04",0.718,0,0.917,0.083,33.965747833252
"2017-04-05",0.34,0.024,0.927,0.049,33.7897911071777
"2017-04-06",-0.856,0.148,0.811,0.042,33.7053260803223
"2017-04-07",0.625,0.094,0.75,0.156,33.6302490234375
"2017-04-10",0.25,0.079,0.817,0.104,33.5903625488281
"2017-04-11",0.551,0.049,0.801,0.15,33.2290573120117
"2017-04-12",0.718,0.049,0.817,0.134,33.2689437866211
"2017-04-13",-0.251,0.05,0.911,0.039,33.0929718017578
"2017-04-17",0.813,0.018,0.811,0.172,33.2759780883789
"2017-04-18",0.701,0.03,0.851,0.119,33.1281661987305
"2017-04-19",0.919,0.013,0.863,0.124,33.0061645507812
"2017-04-20",0,0,1,0,33.4190940856934
"2017-04-21",0.965,0.014,0.826,0.16,33.3792114257812
"2017-04-24",-0.178,0.054,0.925,0.021,33.7006378173828
"2017-04-25",0.951,0,0.803,0.197,33.9094429016113
"2017-04-26",0.982,0,0.696,0.304,33.7100105285645
"2017-04-27",0.318,0,0.972,0.028,33.7358245849609
"2017-04-28",0.743,0.023,0.849,0.128,33.7029762268066
"2017-05-01",0.572,0,0.942,0.058,34.3904075622559
"2017-05-02",0.901,0,0.82,0.18,34.6085968017578
"2017-05-03",0.797,0.038,0.808,0.153,34.5030288696289
"2017-05-04",0.296,0.106,0.769,0.125,34.3786735534668
"2017-05-05",0.759,0.038,0.821,0.141,34.9488105773926
"2017-05-08",0.914,0,0.758,0.242,35.8990135192871
"2017-05-09",0.893,0.029,0.792,0.179,36.1289367675781
"2017-05-10",0.779,0.026,0.884,0.09,35.9576644897461
"2017-05-11",0.527,0,0.929,0.071,36.2686386108398
"2017-05-12",0.844,0.078,0.692,0.23,36.7751502990723
"2017-05-15",0.735,0,0.894,0.106,36.6809234619141
"2017-05-16",-0.178,0.045,0.906,0.049,36.6267318725586
"2017-05-17",0.93,0,0.796,0.204,35.3969688415527
"2017-05-18",-0.572,0.148,0.748,0.103,35.9364585876465
"2017-05-19",0.84,0.037,0.794,0.169,36.0589828491211
"2017-05-22",0.612,0.052,0.831,0.116,36.2780647277832
"2017-05-23",0.758,0,0.895,0.105,36.2332992553711
"2017-05-24",-0.459,0.112,0.845,0.043,36.1249313354492
"2017-05-25",0.612,0.046,0.87,0.084,36.2497863769531
"2017-05-26",0.889,0,0.837,0.163,36.1885452270508
"2017-05-30",0.511,0.065,0.828,0.107,36.2026748657227
"2017-05-31",0.743,0,0.91,0.09,35.9882965087891
"2017-06-01",0.872,0,0.86,0.14,36.0872421264648
"2017-06-02",0.903,0.048,0.797,0.155,36.6220207214355
"2017-06-05",0.178,0.058,0.886,0.056,36.2639274597168
"2017-06-06",0.869,0,0.847,0.153,36.3864212036133
"2017-06-07",0.796,0.059,0.802,0.14,36.6031723022461
"2017-06-08",0.802,0.054,0.802,0.144,36.5136413574219
"2017-06-09",-0.34,0.12,0.779,0.101,35.0977745056152
"2017-06-12",-0.052,0.045,0.912,0.042,34.2590827941895
"2017-06-13",0.844,0.025,0.834,0.14,34.5347290039062
"2017-06-14",0.973,0.042,0.695,0.264,34.1978302001953
"2017-06-15",0.67,0.032,0.856,0.112,33.9928665161133
"2017-06-16",0.511,0,0.919,0.081,33.5169830322266
"2017-06-19",0.66,0,0.93,0.07,34.4758224487305
"2017-06-20",0.968,0.107,0.654,0.239,34.1624870300293
"2017-06-21",-0.889,0.14,0.819,0.041,34.3650932312012
"2017-06-22",0.599,0.08,0.773,0.147,34.3085556030273
"2017-06-23",0.785,0,0.835,0.165,34.4616928100586
"2017-06-26",0.273,0,0.977,0.023,34.3533172607422
"2017-06-27",0.557,0.038,0.86,0.102,33.8609352111816
"2017-06-28",0.896,0,0.845,0.155,34.3556594848633
"2017-06-29",-0.44,0.041,0.959,0,33.8491554260254
"2017-06-30",0.71,0,0.874,0.126,33.929256439209
"2017-07-03",0.934,0.035,0.797,0.168,33.8067512512207
"2017-07-05",-0.557,0.065,0.935,0,33.9457511901855
"2017-07-06",0.986,0,0.686,0.314,33.6253509521484
"2017-07-07",0.974,0,0.664,0.336,33.9669494628906
"2017-07-10",0.807,0,0.815,0.185,34.1742706298828
"2017-07-11",0.954,0.041,0.743,0.216,34.2849884033203
"2017-07-12",0.511,0.058,0.8,0.142,34.3344802856445
"2017-07-13",0.649,0.053,0.818,0.129,34.8127098083496
"2017-07-14",0.889,0,0.905,0.095,35.1118965148926
"2017-07-17",0.785,0.067,0.738,0.194,35.2344055175781
"2017-07-18",0.765,0,0.909,0.091,35.3569183349609
"2017-07-19",0.987,0.046,0.473,0.481,35.578369140625
"2017-07-20",0.929,0.088,0.64,0.271,35.4181671142578
"2017-07-21",0.931,0,0.713,0.287,35.4016876220703
"2017-07-24",0.962,0.024,0.6,0.376,35.8304557800293
"2017-07-25",0.976,0,0.538,0.462,35.9835815429688
"2017-07-26",0.912,0,0.821,0.179,36.1532135009766
"2017-07-27",-0.273,0.028,0.972,0,35.4699935913086
"2017-07-28",0.305,0.083,0.807,0.11,35.2202835083008
"2017-07-31",0.972,0.027,0.627,0.346,35.038875579834
"2017-08-01",0.955,0.096,0.665,0.238,35.3498497009277
"2017-08-02",0.961,0.03,0.595,0.375,37.0201568603516
"2017-08-03",0.103,0.055,0.885,0.06,36.6502914428711
"2017-08-04",0.727,0,0.914,0.086,36.8434638977051
"2017-08-07",0.758,0,0.91,0.09,37.4135932922363
"2017-08-08",0.952,0.026,0.602,0.372,37.7127799987793
"2017-08-09",0.992,0,0.413,0.587,37.943660736084
"2017-08-10",0.996,0,0.464,0.536,36.7350921630859
"2017-08-11",0.966,0,0.759,0.241,37.2459564208984
"2017-08-14",0.71,0.124,0.646,0.23,37.8064956665039
"2017-08-15",0.813,0,0.848,0.152,38.2203788757324
"2017-08-16",0.989,0.025,0.526,0.448,38.0666465759277
"2017-08-17",0.978,0.014,0.672,0.314,37.3358345031738
"2017-08-18",0.899,0.039,0.72,0.241,37.2506828308105
"2017-08-21",0.968,0.044,0.57,0.387,37.1820945739746
"2017-08-22",0.361,0.028,0.922,0.051,37.7899360656738
"2017-08-23",0.831,0,0.882,0.118,37.8372344970703
"2017-08-24",0.938,0,0.679,0.321,37.6693115234375
"2017-08-25",0.44,0,0.953,0.047,37.8088607788086
"2017-08-28",0.94,0.017,0.835,0.148,38.1896324157715
"2017-08-29",0.718,0,0.885,0.115,38.5302085876465
"2017-08-30",-0.103,0.063,0.866,0.071,38.6342735290527
"2017-08-31",0.974,0,0.722,0.278,38.7880172729492
"2017-09-01",0.976,0,0.676,0.324,38.7998313903809
"2017-09-05",0.542,0.141,0.685,0.175,38.333911895752
"2017-09-06",-0.573,0.102,0.819,0.079,38.2937088012695
"2017-09-07",0.937,0.089,0.644,0.266,38.1399726867676
"2017-09-08",0.572,0.127,0.677,0.195,37.517936706543
"2017-09-11",0.37,0.101,0.751,0.148,38.1967315673828
"2017-09-12",0.566,0.075,0.767,0.158,38.0453681945801
"2017-09-13",0.98,0,0.621,0.379,37.7591857910156
"2017-09-14",0.917,0,0.759,0.241,37.4351654052734
"2017-09-15",0.943,0.024,0.646,0.33,37.8135833740234
"2017-09-18",0.681,0,0.891,0.109,37.5273971557617
"2017-09-19",0,0,1,0,37.5416030883789
"2017-09-20",0.964,0,0.689,0.311,36.912467956543
"2017-09-21",0.637,0.019,0.892,0.089,36.2786140441895
"2017-09-22",0.66,0,0.921,0.079,35.9238548278809
"2017-09-25",-0.178,0.064,0.887,0.049,35.6069221496582
"2017-09-26",0.975,0.044,0.551,0.405,36.2194862365723
"2017-09-27",0.494,0.077,0.822,0.101,36.477294921875
"2017-09-28",-0.06,0.099,0.815,0.086,36.2525978088379
"2017-09-29",0.915,0.064,0.752,0.184,36.4512672424316
"2017-10-02",0.917,0,0.762,0.238,36.3779449462891
"2017-10-03",0.912,0,0.819,0.181,36.5364227294922
"2017-10-04",0.802,0.025,0.856,0.118,36.2999076843262
"2017-10-05",0.912,0,0.737,0.263,36.7516479492188
"2017-10-06",0.273,0.12,0.773,0.107,36.7303619384766
"2017-10-09",0.946,0,0.631,0.369,36.8580780029297
"2017-10-10",0.859,0.098,0.667,0.235,36.8722763061523
"2017-10-11",0.511,0.018,0.92,0.062,37.0260047912598
"2017-10-12",0.93,0,0.727,0.273,36.8959159851074
"2017-10-13",0.962,0.02,0.759,0.221,37.1300621032715
"2017-10-16",0.878,0.057,0.8,0.143,37.8135833740234
"2017-10-17",0.881,0.04,0.739,0.22,37.9531288146973
"2017-10-18",0.342,0.022,0.932,0.046,37.7851982116699
"2017-10-19",-0.696,0.146,0.739,0.115,36.891185760498
"2017-10-20",0.835,0.112,0.658,0.23,36.9550476074219
"2017-10-23",0.421,0.039,0.867,0.094,36.9361267089844
"2017-10-24",0.93,0,0.784,0.216,37.1560821533203
"2017-10-25",0.67,0.036,0.878,0.086,36.9928817749023
"2017-10-26",0.71,0.022,0.866,0.113,37.2294006347656
"2017-10-27",0.71,0,0.874,0.126,38.5633239746094
"2017-10-30",0.296,0,0.965,0.035,39.4313201904297
"2017-10-31",0,0.046,0.907,0.046,39.980037689209
"2017-11-01",0.92,0.055,0.715,0.23,39.4715423583984
"2017-11-02",0.494,0.027,0.888,0.085,39.7600708007812
"2017-11-03",0.423,0.074,0.813,0.112,40.7983703613281
"2017-11-06",0.943,0.03,0.655,0.315,41.2122611999512
"2017-11-07",0.978,0,0.65,0.35,41.3447113037109
"2017-11-08",-0.78,0.141,0.758,0.101,41.6829299926758
"2017-11-09",0.775,0.068,0.767,0.165,41.5977745056152
"2017-11-10",0.969,0.032,0.779,0.189,41.4601058959961
"2017-11-13",-0.318,0.069,0.898,0.033,41.2939605712891
"2017-11-14",0.926,0.058,0.694,0.247,40.6696968078613
