"Date","Comp","Negative","Neutral","Positive","Adj.Close"
"2017-04-03",0.941,0.046,0.785,0.169,44.5755004882812
"2017-04-04",0.542,0.084,0.784,0.133,45.3414993286133
"2017-04-05",0.968,0.022,0.766,0.212,45.4640007019043
"2017-04-06",0.984,0.027,0.757,0.216,44.9140014648438
"2017-04-07",0.527,0.042,0.888,0.07,44.7439994812012
"2017-04-10",0.943,0.034,0.849,0.116,45.3520011901855
"2017-04-11",0.026,0.067,0.828,0.106,45.1180000305176
"2017-04-12",0.807,0.055,0.817,0.128,44.8115005493164
"2017-04-13",-0.077,0.079,0.826,0.096,44.2335014343262
"2017-04-17",0.977,0,0.834,0.166,45.0994987487793
"2017-04-18",0.908,0.071,0.762,0.168,45.1889991760254
"2017-04-19",0.942,0,0.928,0.072,44.9599990844727
"2017-04-20",0.318,0.074,0.828,0.098,45.1030006408691
"2017-04-21",0.974,0.067,0.705,0.228,44.9264984130859
"2017-04-24",0.894,0.043,0.854,0.104,45.3704986572266
"2017-04-25",0.103,0.056,0.845,0.099,45.3810005187988
"2017-04-26",-0.768,0.115,0.809,0.075,45.4645004272461
"2017-04-27",0.966,0.05,0.747,0.204,45.9189987182617
"2017-04-28",-0.612,0.098,0.816,0.086,46.2495002746582
"2017-05-01",0.914,0.081,0.743,0.177,47.4114990234375
"2017-05-02",0.942,0.065,0.7,0.235,47.3470001220703
"2017-05-03",0.963,0.057,0.778,0.165,47.0514984130859
"2017-05-04",0.886,0.06,0.817,0.123,46.8764991760254
"2017-05-05",0.944,0.014,0.847,0.14,46.7075004577637
"2017-05-08",-0.681,0.104,0.803,0.093,47.4519996643066
"2017-05-09",0.958,0.073,0.756,0.172,47.640998840332
"2017-05-10",0.959,0,0.863,0.137,47.4474983215332
"2017-05-11",-0.612,0.072,0.88,0.048,47.3810005187988
"2017-05-12",-0.34,0.08,0.832,0.088,48.0675010681152
"2017-05-15",0.95,0.022,0.848,0.129,47.8984985351562
"2017-05-16",0.743,0.067,0.793,0.139,48.3035011291504
"2017-05-17",0.889,0.022,0.881,0.097,47.2379989624023
"2017-05-18",0.494,0.096,0.774,0.13,47.9244995117188
"2017-05-19",0.961,0.055,0.78,0.165,47.992000579834
"2017-05-22",0.935,0.019,0.808,0.173,48.5335006713867
"2017-05-23",0.457,0.066,0.847,0.087,48.5769996643066
"2017-05-24",0.957,0.111,0.677,0.212,49.0175018310547
"2017-05-25",0.908,0.068,0.787,0.145,49.6689987182617
"2017-05-26",0.36,0.067,0.836,0.097,49.7890014648438
"2017-05-30",0.958,0.039,0.824,0.137,49.8349990844727
"2017-05-31",0.936,0.018,0.855,0.127,49.7309989929199
"2017-06-01",0.964,0.058,0.749,0.193,49.7975006103516
"2017-06-02",0.982,0.037,0.78,0.183,50.336498260498
"2017-06-05",0.854,0.041,0.838,0.121,50.5670013427734
"2017-06-06",-0.818,0.105,0.839,0.056,50.1500015258789
"2017-06-07",0.943,0.008,0.862,0.13,50.5035018920898
"2017-06-08",0.772,0.049,0.841,0.11,50.513500213623
"2017-06-09",0.985,0.045,0.715,0.24,48.9155006408691
"2017-06-12",0.789,0.084,0.776,0.139,48.2454986572266
"2017-06-13",-0.901,0.151,0.762,0.087,49.0395011901855
"2017-06-14",-0.757,0.115,0.802,0.083,48.8235015869141
"2017-06-15",0.296,0.036,0.905,0.059,48.2084999084473
"2017-06-16",0.859,0.07,0.803,0.128,49.3855018615723
"2017-06-19",0.772,0.07,0.796,0.134,49.7584991455078
"2017-06-20",0.926,0.038,0.804,0.158,49.6295013427734
"2017-06-21",0.961,0.058,0.719,0.223,50.111499786377
"2017-06-22",0.951,0.105,0.688,0.207,50.064998626709
"2017-06-23",0.988,0.023,0.777,0.201,50.1870002746582
"2017-06-26",0.077,0.089,0.794,0.117,49.6990013122559
"2017-06-27",0.979,0.014,0.757,0.229,48.8390007019043
"2017-06-28",0.67,0.049,0.838,0.113,49.5164985656738
"2017-06-29",0.872,0.042,0.841,0.117,48.796501159668
"2017-06-30",0.246,0.046,0.893,0.061,48.4000015258789
"2017-07-03",0.983,0,0.864,0.136,47.6829986572266
"2017-07-05",0.955,0,0.838,0.162,48.5699996948242
"2017-07-06",0.913,0.039,0.834,0.127,48.2569999694824
"2017-07-07",0.735,0.031,0.881,0.087,48.9379997253418
"2017-07-10",0.978,0.031,0.736,0.233,49.8235015869141
"2017-07-11",0.912,0.032,0.856,0.112,49.7065010070801
"2017-07-12",0.785,0.092,0.759,0.149,50.3255004882812
"2017-07-13",0.987,0.042,0.724,0.233,50.0315017700195
"2017-07-14",0.94,0.015,0.847,0.138,50.0904998779297
"2017-07-17",0.34,0.06,0.851,0.089,50.5019989013672
"2017-07-18",0.992,0.012,0.715,0.274,51.2224998474121
"2017-07-19",0.893,0.025,0.849,0.127,51.3434982299805
"2017-07-20",0.361,0.089,0.805,0.106,51.435001373291
"2017-07-21",0.859,0.121,0.7,0.179,51.2835006713867
"2017-07-24",0.92,0.07,0.756,0.174,51.9474983215332
"2017-07-25",0.983,0.021,0.785,0.194,51.9934997558594
"2017-07-26",0.966,0.021,0.84,0.139,52.6399993896484
"2017-07-27",0.964,0.124,0.653,0.223,52.2999992370605
"2017-07-28",-0.465,0.107,0.806,0.087,51.0019989013672
"2017-07-31",0.95,0.034,0.804,0.162,49.3889999389648
"2017-08-01",0.994,0.042,0.662,0.296,49.8095016479492
"2017-08-02",-0.893,0.195,0.664,0.141,49.7944984436035
"2017-08-03",0.942,0.09,0.723,0.187,49.3460006713867
"2017-08-04",0.856,0.029,0.848,0.122,49.3790016174316
"2017-08-07",0.923,0.057,0.813,0.129,49.6134986877441
"2017-08-08",0.785,0.102,0.75,0.148,49.492000579834
"2017-08-09",0.939,0.013,0.844,0.142,49.1004981994629
"2017-08-10",0.923,0.062,0.787,0.151,47.8460006713867
"2017-08-11",0.939,0.082,0.73,0.188,48.3995018005371
"2017-08-14",0.225,0.106,0.758,0.136,49.1650009155273
"2017-08-15",0.975,0.055,0.747,0.198,49.1370010375977
"2017-08-16",0.599,0.149,0.662,0.188,48.9090003967285
"2017-08-17",0.954,0.028,0.84,0.132,48.0284996032715
"2017-08-18",0.872,0,0.867,0.133,47.9235000610352
"2017-08-21",0.904,0.038,0.84,0.122,47.6645011901855
"2017-08-22",0.765,0.06,0.821,0.119,48.3450012207031
"2017-08-23",0.872,0.059,0.772,0.169,47.9000015258789
"2017-08-24",0.901,0.015,0.878,0.107,47.622501373291
"2017-08-25",0.511,0.056,0.869,0.076,47.2630004882812
"2017-08-28",-0.726,0.118,0.792,0.09,47.3009986877441
"2017-08-29",0.856,0.034,0.833,0.133,47.7029991149902
"2017-08-30",0.918,0.035,0.824,0.141,48.3795013427734
"2017-08-31",0.494,0.049,0.86,0.091,49.0299987792969
"2017-09-01",0.943,0.036,0.806,0.159,48.9124984741211
"2017-09-05",0.527,0.086,0.79,0.125,48.263500213623
"2017-09-06",-0.586,0.159,0.715,0.125,48.3899993896484
"2017-09-07",0.959,0.065,0.763,0.172,48.9734992980957
"2017-09-08",0.946,0.081,0.717,0.202,48.2949981689453
"2017-09-11",0.914,0.089,0.715,0.197,48.8979988098145
"2017-09-12",0.944,0.064,0.739,0.198,49.1290016174316
"2017-09-13",0.902,0.017,0.883,0.1,49.9799995422363
"2017-09-14",0.951,0.05,0.716,0.234,49.6105003356934
"2017-09-15",0.935,0.036,0.775,0.189,49.3395004272461
"2017-09-18",0.949,0.021,0.822,0.157,48.7094993591309
"2017-09-19",0.912,0.065,0.77,0.164,48.4930000305176
"2017-09-20",0.993,0.007,0.728,0.266,48.6604995727539
"2017-09-21",0.919,0.023,0.832,0.145,48.2324981689453
"2017-09-22",0.987,0.037,0.727,0.235,47.7550010681152
"2017-09-25",-0.81,0.098,0.831,0.072,46.9894981384277
"2017-09-26",-0.141,0.146,0.721,0.133,46.9300003051758
"2017-09-27",0.979,0.021,0.807,0.172,47.5434989929199
"2017-09-28",0.875,0.021,0.885,0.094,47.8199996948242
"2017-09-29",0.97,0.034,0.806,0.16,48.0675010681152
"2017-10-02",0.98,0.042,0.732,0.226,47.9594993591309
"2017-10-03",0.645,0.042,0.868,0.09,47.8549995422363
"2017-10-04",-0.911,0.136,0.793,0.07,48.2724990844727
"2017-10-05",0.908,0.027,0.851,0.122,49.0424995422363
"2017-10-06",0.975,0.065,0.709,0.226,49.4790000915527
