"Date","Comp","Negative","Neutral","Positive","Adj.Close"
"2017-04-03",0.459,0.02,0.912,0.068,41.9275016784668
"2017-04-04",-0.153,0.035,0.965,0,41.7285003662109
"2017-04-05",0.586,0,0.876,0.124,41.570499420166
"2017-04-06",0.511,0,0.952,0.048,41.3940010070801
"2017-04-07",0.599,0,0.898,0.102,41.2335014343262
"2017-04-10",-0.026,0.017,0.983,0,41.236499786377
"2017-04-11",0.71,0,0.902,0.098,41.1674995422363
"2017-04-12",0.878,0.066,0.724,0.209,41.2159996032715
"2017-04-13",-0.052,0.059,0.886,0.055,41.1780014038086
"2017-04-17",0.296,0.07,0.833,0.096,41.8585014343262
"2017-04-18",0.477,0,0.928,0.072,41.8409996032715
"2017-04-19",0.802,0.066,0.743,0.191,41.9104995727539
"2017-04-20",0.421,0,0.924,0.076,42.0825004577637
"2017-04-21",0,0,1,0,42.1595001220703
"2017-04-24",0.318,0.089,0.806,0.106,43.1380004882812
"2017-04-25",0.296,0.053,0.89,0.056,43.6150016784668
"2017-04-26",0.758,0,0.903,0.097,43.586498260498
"2017-04-27",0.402,0.029,0.911,0.06,43.7125015258789
"2017-04-28",-0.226,0.055,0.905,0.04,45.2980003356934
"2017-05-01",0.802,0,0.837,0.163,45.6285018920898
"2017-05-02",0.758,0,0.808,0.192,45.8219985961914
"2017-05-03",-0.494,0.097,0.903,0,46.3520011901855
"2017-05-04",0.296,0,0.955,0.045,46.5830001831055
"2017-05-05",0.477,0.024,0.916,0.06,46.3564987182617
"2017-05-08",-0.572,0.091,0.864,0.044,46.7150001525879
"2017-05-09",0.402,0,0.951,0.049,46.6085014343262
"2017-05-10",-0.103,0.035,0.938,0.027,46.4389991760254
"2017-05-11",0.25,0,0.968,0.032,46.5299987792969
"2017-05-12",0.637,0,0.885,0.115,46.6110000610352
"2017-05-15",0.41,0.081,0.799,0.12,46.8540000915527
"2017-05-16",-0.077,0.097,0.811,0.092,47.1500015258789
"2017-05-17",0.402,0,0.952,0.048,45.9809989929199
"2017-05-18",-0.153,0.067,0.881,0.052,46.5120010375977
"2017-05-19",-0.273,0.085,0.87,0.045,46.7005004882812
"2017-05-22",0.026,0.022,0.94,0.038,47.0929985046387
"2017-05-23",-0.91,0.173,0.827,0,47.4410018920898
"2017-05-24",0.318,0,0.947,0.053,47.7480010986328
"2017-05-25",0.743,0,0.879,0.121,48.4770011901855
"2017-05-26",0.836,0,0.815,0.185,48.5735015869141
"2017-05-30",0.691,0,0.883,0.117,48.7939987182617
"2017-05-31",0,0,1,0,48.2430000305176
"2017-06-01",0.382,0,0.938,0.062,48.3474998474121
"2017-06-02",-0.153,0.077,0.859,0.064,48.7799987792969
"2017-06-05",0.202,0.044,0.886,0.069,49.1839981079102
"2017-06-06",0.318,0.036,0.888,0.076,48.828498840332
