"Date","Comp","Negative","Neutral","Positive","Adj.Close"
"2017-04-03",0.459,0.02,0.912,0.068,60.5954780578613
"2017-04-04",-0.153,0.035,0.965,0,60.7618598937988
"2017-04-05",0.586,0,0.876,0.124,60.6047096252441
"2017-04-06",0.511,0,0.952,0.048,60.7618598937988
"2017-04-07",0.599,0,0.898,0.102,60.7156372070312
"2017-04-10",-0.026,0.017,0.983,0,60.5769844055176
"2017-04-11",0.71,0,0.902,0.098,60.5307579040527
"2017-04-12",0.878,0.066,0.724,0.209,60.2996559143066
"2017-04-13",-0.052,0.059,0.886,0.055,60.0408172607422
"2017-04-17",0.296,0.07,0.833,0.096,60.5307579040527
"2017-04-18",0.477,0,0.928,0.072,60.4475593566895
"2017-04-19",0.802,0.066,0.743,0.191,60.1240119934082
"2017-04-20",0.421,0,0.924,0.076,60.5492324829102
"2017-04-21",0,0,1,0,61.3812255859375
"2017-04-24",0.318,0.089,0.806,0.106,62.4258041381836
"2017-04-25",0.296,0.053,0.89,0.056,62.7863273620605
"2017-04-26",0.758,0,0.903,0.097,62.7031402587891
"2017-04-27",0.402,0.029,0.911,0.06,63.10986328125
"2017-04-28",-0.226,0.055,0.905,0.04,63.2854957580566
"2017-05-01",0.802,0,0.837,0.163,64.1637115478516
"2017-05-02",0.758,0,0.808,0.192,64.0620346069336
"2017-05-03",-0.494,0.097,0.903,0,63.8586540222168
"2017-05-04",0.296,0,0.955,0.045,63.6090393066406
"2017-05-05",0.477,0.024,0.916,0.06,63.7847137451172
"2017-05-08",-0.572,0.091,0.864,0.044,63.7292404174805
"2017-05-09",0.402,0,0.951,0.049,63.8216934204102
"2017-05-10",-0.103,0.035,0.938,0.027,64.0712738037109
"2017-05-11",0.25,0,0.968,0.032,63.2854957580566
"2017-05-12",0.637,0,0.885,0.115,63.211540222168
"2017-05-15",0.41,0.081,0.799,0.12,63.2577934265137
"2017-05-16",-0.077,0.097,0.811,0.092,64.531494140625
"2017-05-17",0.402,0,0.952,0.048,62.7371597290039
"2017-05-18",-0.153,0.067,0.881,0.052,62.9509735107422
"2017-05-19",-0.273,0.085,0.87,0.045,62.9323844909668
"2017-05-22",0.026,0.022,0.94,0.038,63.6389427185059
"2017-05-23",-0.91,0.173,0.827,0,63.852783203125
"2017-05-24",0.318,0,0.947,0.053,63.9364700317383
"2017-05-25",0.743,0,0.879,0.121,64.7267303466797
"2017-05-26",0.836,0,0.815,0.185,65.042839050293
"2017-05-30",0.691,0,0.883,0.117,65.4612045288086
"2017-05-31",0,0,1,0,64.931266784668
"2017-06-01",0.382,0,0.938,0.062,65.1730117797852
"2017-06-02",-0.153,0.077,0.859,0.064,66.7163314819336
"2017-06-05",0.202,0.044,0.886,0.069,67.1997756958008
"2017-06-06",0.318,0.036,0.888,0.076,67.4229049682617
"2017-06-07",0.893,0,0.764,0.236,67.3020401000977
"2017-06-08",-0.296,0.064,0.899,0.037,66.8929672241211
"2017-06-09",-0.34,0.116,0.795,0.089,65.3775329589844
"2017-06-12",-0.511,0.104,0.849,0.047,64.8754806518555
"2017-06-13",-0.844,0.193,0.807,0,65.6843414306641
"2017-06-14",-0.542,0.148,0.766,0.086,65.3310470581055
"2017-06-15",-0.495,0.116,0.841,0.043,64.9870758056641
"2017-06-16",-0.103,0.059,0.891,0.051,65.0800170898438
"2017-06-19",0.421,0,0.97,0.03,65.8888931274414
"2017-06-20",-0.796,0.159,0.803,0.038,64.9963607788086
"2017-06-21",0.052,0.105,0.75,0.145,65.3310470581055
"2017-06-22",0.937,0,0.803,0.197,65.3217468261719
"2017-06-23",0.778,0.039,0.791,0.17,66.2049713134766
"2017-06-26",0.481,0.16,0.622,0.219,65.5727767944336
"2017-06-27",0.751,0,0.862,0.138,64.3455581665039
"2017-06-28",0.772,0.057,0.741,0.203,64.8940734863281
"2017-06-29",0.637,0,0.906,0.094,63.6761589050293
"2017-06-30",0.511,0,0.901,0.099,64.0852127075195
"2017-07-03",-0.273,0.074,0.926,0,63.3786544799805
"2017-07-05",0.202,0.037,0.897,0.066,64.2246856689453
"2017-07-06",0.807,0.092,0.703,0.205,63.7505264282227
"2017-07-07",-0.273,0.049,0.951,0,64.5779647827148
"2017-07-10",0.153,0.038,0.912,0.049,65.0614471435547
"2017-07-11",-0.077,0.063,0.879,0.058,65.0707168579102
"2017-07-12",0.822,0,0.802,0.198,66.1492004394531
"2017-07-13",0,0.062,0.876,0.062,66.7256240844727
"2017-07-14",0.318,0,0.966,0.034,67.6646347045898
"2017-07-17",0.296,0,0.929,0.071,68.1945571899414
"2017-07-18",0.103,0.052,0.877,0.071,68.1480865478516
"2017-07-19",0.402,0.036,0.902,0.062,68.6687164306641
"2017-07-20",0.881,0.043,0.714,0.243,69.0034255981445
"2017-07-21",-0.226,0.105,0.805,0.09,68.6036376953125
"2017-07-24",0.002,0.094,0.789,0.116,68.4270095825195
"2017-07-25",0.863,0,0.814,0.186,68.9755249023438
"2017-07-26",-0.459,0.049,0.951,0,68.8453750610352
"2017-07-27",0.751,0,0.899,0.101,68.0179290771484
"2017-07-28",0.361,0.06,0.821,0.119,67.9063415527344
"2017-07-31",-0.178,0.097,0.817,0.085,67.5902404785156
"2017-08-01",0.856,0,0.875,0.125,67.4786987304688
"2017-08-02",0.66,0,0.906,0.094,67.1811676025391
"2017-08-03",0.318,0,0.949,0.051,67.0789108276367
"2017-08-04",0.852,0.019,0.832,0.149,67.5716705322266
"2017-08-07",0,0,1,0,67.3113479614258
"2017-08-08",0.791,0,0.886,0.114,67.6739501953125
"2017-08-09",0.66,0,0.93,0.07,67.3764266967773
"2017-08-10",0.318,0.127,0.713,0.159,66.3909149169922
"2017-08-11",-0.743,0.167,0.803,0.03,67.4043045043945
"2017-08-14",0.382,0,0.939,0.061,68.4176788330078
"2017-08-15",0.361,0,0.941,0.059,68.436393737793
"2017-08-16",0.542,0.105,0.739,0.157,68.8382949829102
"2017-08-17",0.557,0,0.931,0.069,67.6699752807617
"2017-08-18",0.103,0,0.969,0.031,67.7540969848633
"2017-08-21",0.822,0.033,0.826,0.141,67.4362869262695
"2017-08-22",0.765,0,0.864,0.136,68.3803405761719
"2017-08-23",0,0.044,0.913,0.044,67.9690628051758
"2017-08-24",0.511,0.077,0.8,0.123,67.9410247802734
"2017-08-25",-0.026,0.04,0.922,0.037,68.0625305175781
"2017-08-28",0.67,0.053,0.837,0.11,68.0718688964844
"2017-08-29",0.382,0,0.945,0.055,68.2775039672852
"2017-08-30",0.866,0.034,0.757,0.209,69.1747970581055
"2017-08-31",0.527,0,0.914,0.086,69.8851318359375
"2017-09-01",0.751,0.051,0.8,0.149,69.1093597412109
"2017-09-05",0.572,0.024,0.886,0.09,68.8009262084961
"2017-09-06",0.802,0,0.843,0.157,68.6046295166016
"2017-09-07",0.511,0.042,0.862,0.096,69.4832153320312
"2017-09-08",0.866,0,0.793,0.207,69.1467437744141
"2017-09-11",0.586,0,0.907,0.093,69.8758010864258
"2017-09-12",0.818,0.024,0.832,0.144,69.8010101318359
"2017-09-13",0.66,0.074,0.773,0.153,70.2964019775391
"2017-09-14",-0.459,0.08,0.87,0.05,69.8851318359375
"2017-09-15",0.402,0,0.941,0.059,70.3898468017578
"2017-09-18",0.103,0,0.968,0.032,70.2496566772461
"2017-09-19",-0.599,0.135,0.785,0.08,70.511360168457
"2017-09-20",-0.649,0.115,0.801,0.084,70.0440216064453
"2017-09-21",-0.494,0.104,0.819,0.077,69.3617172241211
"2017-09-22",0.813,0,0.879,0.121,69.5486526489258
"2017-09-25",0.296,0.082,0.82,0.098,68.4737701416016
"2017-09-26",0.077,0,0.979,0.021,68.4737701416016
"2017-09-27",0.66,0,0.913,0.087,69.0252151489258
"2017-09-28",0.796,0,0.835,0.165,69.0439376831055
"2017-09-29",0.637,0.05,0.839,0.111,69.6234283447266
"2017-10-02",0,0,1,0,69.7355728149414
"2017-10-03",-0.477,0.074,0.883,0.043,69.408447265625
"2017-10-04",0.902,0.051,0.806,0.143,69.8103408813477
"2017-10-05",0.202,0,0.971,0.029,71.0067367553711
"2017-10-06",0,0,1,0,71.0347671508789
"2017-10-09",0.691,0,0.851,0.149,71.3058319091797
"2017-10-10",0.402,0.064,0.808,0.128,71.3058319091797
"2017-10-11",0.681,0.028,0.862,0.11,71.4273300170898
"2017-10-12",0.778,0,0.885,0.115,72.0816040039062
"2017-10-13",0.934,0.046,0.696,0.258,72.4274215698242
"2017-10-16",0.92,0,0.775,0.225,72.5769653320312
"2017-10-17",0.599,0.044,0.838,0.118,72.5209045410156
"2017-10-18",0.637,0,0.89,0.11,72.5395965576172
"2017-10-19",0.841,0,0.876,0.124,72.8199844360352
"2017-10-20",0.772,0,0.908,0.092,73.6611862182617
"2017-10-23",0,0,1,0,73.6798934936523
"2017-10-24",0.691,0.051,0.793,0.156,73.7079086303711
"2017-10-25",0.718,0,0.875,0.125,73.4929504394531
"2017-10-26",0.67,0,0.933,0.067,73.6144409179688
"2017-10-27",0.801,0.054,0.818,0.129,78.3345108032227
"2017-10-30",0,0,1,0,78.409309387207
"2017-10-31",0.625,0,0.938,0.062,77.7456817626953
"2017-11-01",0.026,0.053,0.875,0.071,77.7456817626953
"2017-11-02",0.735,0.023,0.867,0.11,78.5588531494141
"2017-11-03",0.494,0,0.943,0.057,78.6429595947266
"2017-11-06",0.889,0,0.836,0.164,78.951416015625
"2017-11-07",0.972,0.069,0.648,0.284,78.7644729614258
"2017-11-08",0.91,0.015,0.827,0.158,79.0355072021484
"2017-11-09",0.93,0.037,0.805,0.158,78.5962371826172
"2017-11-10",0.44,0.031,0.899,0.07,78.3906097412109
"2017-11-13",0.644,0,0.927,0.073,78.4466857910156
"2017-11-14",0.964,0.025,0.732,0.243,78.5588531494141
"2017-11-15",0.986,0.024,0.838,0.138,77.9482727050781
"2017-11-16",0.832,0,0.847,0.153,78.1549224853516
"2017-11-17",-0.92,0.175,0.742,0.083,77.403450012207
"2017-11-20",0.827,0.026,0.868,0.106,77.5255355834961
"2017-11-21",0.296,0,0.976,0.024,78.6433715820312
"2017-11-22",-0.103,0.055,0.908,0.037,78.0703887939453
"2017-11-24",0.752,0.039,0.834,0.128,78.2112884521484
"2017-11-27",0.612,0.025,0.896,0.079,78.7843017578125
"2017-11-28",0.421,0.091,0.797,0.112,79.733039855957
"2017-11-29",0.827,0.017,0.855,0.128,78.2864379882812
"2017-11-30",0.886,0,0.9,0.1,79.0661010742188
"2017-12-01",-0.727,0.068,0.932,0,79.1506195068359
"2017-12-04",0.542,0.084,0.805,0.111,76.1634750366211
"2017-12-05",0.933,0,0.762,0.238,76.6425399780273
"2017-12-06",0.844,0,0.87,0.13,77.7603759765625
"2017-12-07",0.742,0.034,0.879,0.087,77.4879684448242
"2017-12-08",0.44,0,0.956,0.044,79.0567016601562
"2017-12-11",-0.273,0.031,0.969,0,80.0618362426758
"2017-12-12",0.886,0,0.87,0.13,80.3906173706055
"2017-12-13",0.296,0,0.982,0.018,80.1745452880859
"2017-12-14",-0.296,0.029,0.971,0,79.554573059082
"2017-12-15",0.881,0.085,0.742,0.172,81.583610534668
