"Date","Comp","Negative","Neutral","Positive","Adj.Close"
"2017-04-03",0.67,0,0.924,0.076,19.9013328552246
"2017-04-04",0.511,0.048,0.829,0.123,20.2466678619385
"2017-04-05",0.778,0.037,0.825,0.139,19.6666679382324
"2017-04-06",0.649,0,0.91,0.09,19.9133338928223
"2017-04-07",0.813,0,0.877,0.123,20.1693325042725
"2017-04-10",-0.865,0.199,0.717,0.084,20.826000213623
"2017-04-11",0.682,0.064,0.784,0.152,20.5806674957275
"2017-04-12",0.778,0,0.842,0.158,19.7893333435059
"2017-04-13",0.369,0.121,0.732,0.147,20.2666664123535
"2017-04-17",0.942,0,0.82,0.18,20.0960006713867
"2017-04-18",0.718,0.084,0.774,0.141,20.0166664123535
"2017-04-19",0.781,0.138,0.64,0.223,20.3680000305176
"2017-04-20",0.296,0,0.953,0.047,20.1673336029053
"2017-04-21",0.7,0,0.935,0.065,20.3733329772949
"2017-04-24",-0.153,0.058,0.895,0.047,20.5353336334229
"2017-04-25",0,0,1,0,20.9193325042725
"2017-04-26",0.334,0.061,0.847,0.092,20.67799949646
"2017-04-27",0.813,0,0.807,0.193,20.5753326416016
"2017-04-28",0.103,0.081,0.833,0.086,20.9379997253418
"2017-05-01",0,0,1,0,21.5219993591309
"2017-05-02",0.785,0.073,0.781,0.146,21.2593326568604
"2017-05-03",0.86,0.1,0.702,0.198,20.7346668243408
"2017-05-04",0.318,0.138,0.704,0.158,19.6973323822021
"2017-05-05",0.226,0.123,0.733,0.143,20.5566673278809
"2017-05-08",0.318,0.019,0.928,0.053,20.4793338775635
"2017-05-09",-0.296,0.08,0.871,0.049,21.4173336029053
"2017-05-10",0.912,0.097,0.667,0.235,21.6813335418701
"2017-05-11",0.791,0,0.849,0.151,21.5400009155273
"2017-05-12",0.718,0.082,0.749,0.169,21.6539993286133
"2017-05-15",0.402,0,0.928,0.072,21.058666229248
"2017-05-16",0.45,0.078,0.797,0.125,21.1340007781982
"2017-05-17",0.202,0.029,0.931,0.04,20.4073333740234
"2017-05-18",0.758,0.099,0.748,0.154,20.8706665039062
"2017-05-19",0.103,0.127,0.74,0.133,20.7220001220703
"2017-05-22",0.572,0.083,0.764,0.154,20.6900005340576
"2017-05-23",-0.477,0.113,0.804,0.083,20.2573337554932
"2017-05-24",0.902,0.015,0.862,0.123,20.6813335418701
"2017-05-25",0.848,0,0.815,0.185,21.1219997406006
"2017-05-26",0.91,0.023,0.767,0.211,21.6760005950928
"2017-05-30",0.563,0.089,0.775,0.136,22.3400001525879
"2017-05-31",-0.052,0.051,0.879,0.07,22.7339992523193
"2017-06-01",0.511,0.043,0.845,0.112,22.691333770752
"2017-06-02",0.91,0.058,0.745,0.198,22.6566677093506
