"Date","Comp","Negative","Neutral","Positive"
"2017-04-01","0.812","0.022","0.861","0.118"
"2017-04-02","-0.7","0.182","0.67","0.147"
"2017-04-03","0.67","0","0.924","0.076"
"2017-04-04","0.511","0.048","0.829","0.123"
"2017-04-05","0.778","0.037","0.825","0.139"
"2017-04-06","0.649","0","0.91","0.09"
"2017-04-07","0.813","0","0.877","0.123"
"2017-04-08","-0.765","0.118","0.829","0.054"
"2017-04-09","0.884","0.018","0.832","0.15"
"2017-04-10","-0.865","0.199","0.717","0.084"
"2017-04-11","0.682","0.064","0.784","0.152"
"2017-04-12","0.778","0","0.842","0.158"
"2017-04-13","0.369","0.121","0.732","0.147"
"2017-04-14","0.875","0.045","0.784","0.17"
"2017-04-15","-0.827","0.198","0.717","0.085"
"2017-04-16","0.898","0","0.823","0.177"
"2017-04-17","0.942","0","0.82","0.18"
"2017-04-18","0.718","0.084","0.774","0.141"
"2017-04-19","0.781","0.138","0.64","0.223"
"2017-04-20","0.296","0","0.953","0.047"
"2017-04-21","0.7","0","0.935","0.065"
"2017-04-22","0.649","0.06","0.819","0.121"
"2017-04-23","0.882","0.044","0.762","0.194"
"2017-04-24","-0.153","0.058","0.895","0.047"
"2017-04-25","0","0","1","0"
"2017-04-26","0.334","0.061","0.847","0.092"
"2017-04-27","0.813","0","0.807","0.193"
"2017-04-28","0.103","0.081","0.833","0.086"
"2017-04-29","0.076","0","0.98","0.02"
"2017-04-30","0.612","0.052","0.848","0.101"
"2017-05-01","0","0","1","0"
"2017-05-02","0.785","0.073","0.781","0.146"
"2017-05-03","0.86","0.1","0.702","0.198"
"2017-05-04","0.318","0.138","0.704","0.158"
"2017-05-05","0.226","0.123","0.733","0.143"
"2017-05-06","0.103","0.067","0.845","0.088"
"2017-05-07","0.951","0","0.799","0.201"
"2017-05-08","0.318","0.019","0.928","0.053"
"2017-05-09","-0.296","0.08","0.871","0.049"
"2017-05-10","0.912","0.097","0.667","0.235"
"2017-05-11","0.791","0","0.849","0.151"
"2017-05-12","0.718","0.082","0.749","0.169"
"2017-05-13","0.99","0","0.764","0.236"
"2017-05-14","-0.421","0.068","0.932","0"
"2017-05-15","0.402","0","0.928","0.072"
"2017-05-16","0.45","0.078","0.797","0.125"
"2017-05-17","0.202","0.029","0.931","0.04"
"2017-05-18","0.758","0.099","0.748","0.154"
"2017-05-19","0.103","0.127","0.74","0.133"
"2017-05-20","0.71","0.045","0.86","0.095"
"2017-05-21","0.948","0.027","0.764","0.21"
"2017-05-22","0.572","0.083","0.764","0.154"
"2017-05-23","-0.477","0.113","0.804","0.083"
"2017-05-24","0.902","0.015","0.862","0.123"
"2017-05-25","0.848","0","0.815","0.185"
"2017-05-26","0.91","0.023","0.767","0.211"
"2017-05-27","0.857","0.08","0.716","0.205"
"2017-05-28","-0.691","0.083","0.917","0"
"2017-05-29","0.226","0.116","0.759","0.125"
"2017-05-30","0.563","0.089","0.775","0.136"
"2017-05-31","-0.052","0.051","0.879","0.07"
"2017-06-01","0.511","0.043","0.845","0.112"
"2017-06-02","0.91","0.058","0.745","0.198"
"2017-06-03","0.848","0","0.797","0.203"
"2017-06-04","-0.572","0.065","0.935","0"
"2017-06-05","0.511","0.093","0.745","0.161"
"2017-06-06","0.586","0","0.944","0.056"
"2017-06-07","0.818","0","0.876","0.124"
"2017-06-08","0.71","0.031","0.853","0.115"
"2017-06-09","0.872","0.063","0.789","0.148"
"2017-06-10","0.637","0","0.924","0.076"
"2017-06-11","0","0.037","0.925","0.037"
"2017-06-12","0.577","0.037","0.859","0.104"
"2017-06-13","0.698","0","0.879","0.121"
"2017-06-14","0.785","0","0.854","0.146"
"2017-06-15","0.765","0","0.879","0.121"
"2017-06-16","0.963","0.028","0.701","0.271"
"2017-06-17","0.919","0.02","0.806","0.174"
"2017-06-18","0.848","0.08","0.749","0.171"
"2017-06-19","0.34","0.063","0.847","0.09"
"2017-06-20","0.382","0","0.935","0.065"
"2017-06-21","0.922","0","0.792","0.208"
"2017-06-22","0.25","0.047","0.779","0.174"
"2017-06-23","-0.026","0.057","0.857","0.086"
"2017-06-24","0.903","0.091","0.756","0.153"
"2017-06-25","0.866","0","0.902","0.098"
"2017-06-26","0.893","0.019","0.862","0.118"
"2017-06-27","0.725","0","0.909","0.091"
"2017-06-28","0.71","0.025","0.916","0.06"
"2017-06-29","0.965","0.018","0.841","0.141"
"2017-06-30","-0.026","0.056","0.888","0.055"
"2017-07-01","0.954","0.039","0.799","0.162"
"2017-07-02","0.976","0.046","0.772","0.181"
"2017-07-03","0.586","0.025","0.91","0.065"
"2017-07-04","0.202","0.038","0.905","0.057"
"2017-07-05","-0.935","0.269","0.697","0.034"
"2017-07-06","0.952","0.028","0.74","0.232"
"2017-07-07","0.836","0","0.899","0.101"
"2017-07-08","0.915","0.036","0.758","0.206"
"2017-07-09","0.941","0","0.823","0.177"
"2017-07-10","0.459","0.057","0.846","0.096"
"2017-07-11","0.926","0.035","0.754","0.211"
"2017-07-12","0.226","0","0.961","0.039"
"2017-07-13","0","0","1","0"
"2017-07-14","0.906","0.042","0.82","0.138"
"2017-07-15","-0.7","0.156","0.749","0.095"
"2017-07-16","0.827","0","0.861","0.139"
"2017-07-17","0.739","0.042","0.816","0.142"
"2017-07-18","0.612","0.096","0.726","0.178"
"2017-07-19","0.178","0.069","0.832","0.099"
"2017-07-20","0.747","0.06","0.831","0.109"
"2017-07-21","0.794","0.09","0.737","0.173"
"2017-07-22","0.889","0.042","0.761","0.196"
"2017-07-23","0.914","0.028","0.817","0.155"
"2017-07-24","0.941","0.019","0.809","0.172"
"2017-07-25","-0.25","0.033","0.967","0"
"2017-07-26","-0.822","0.152","0.848","0"
"2017-07-27","0.718","0.045","0.808","0.148"
"2017-07-28","0.934","0","0.802","0.198"
"2017-07-29","0.961","0","0.797","0.203"
"2017-07-30","0.99","0","0.769","0.231"
"2017-07-31","0.891","0.069","0.714","0.216"
"2017-08-01","0.852","0","0.856","0.144"
"2017-08-02","-0.107","0.107","0.808","0.085"
"2017-08-03","0.869","0.059","0.747","0.194"
"2017-08-04","0.924","0.018","0.783","0.199"
"2017-08-05","0.66","0.19","0.556","0.254"
"2017-08-06","0.844","0","0.867","0.133"
"2017-08-07","0.625","0","0.917","0.083"
"2017-08-08","0.967","0.043","0.685","0.271"
"2017-08-09","0.848","0.083","0.693","0.224"
"2017-08-10","0.077","0.074","0.849","0.077"
"2017-08-11","0.977","0.016","0.659","0.324"
"2017-08-12","0.382","0.031","0.888","0.081"
"2017-08-13","-0.572","0.107","0.842","0.051"
"2017-08-14","0.914","0.019","0.839","0.142"
"2017-08-15","0.459","0.077","0.833","0.089"
"2017-08-16","0.421","0.025","0.916","0.059"
"2017-08-17","-0.917","0.242","0.726","0.032"
"2017-08-18","0.612","0","0.931","0.069"
"2017-08-19","0","0","1","0"
"2017-08-20","0.128","0.134","0.723","0.143"
"2017-08-21","0.916","0.033","0.795","0.171"
"2017-08-22","0.681","0.058","0.831","0.112"
"2017-08-23","-0.25","0.056","0.888","0.056"
"2017-08-24","0.527","0.07","0.815","0.115"
"2017-08-25","0.7","0.045","0.817","0.138"
"2017-08-26","0.896","0.046","0.813","0.14"
"2017-08-27","0.919","0.044","0.812","0.143"
"2017-08-28","0.511","0.061","0.848","0.091"
"2017-08-29","0.926","0","0.814","0.186"
"2017-08-30","0.827","0.122","0.68","0.197"
"2017-08-31","0.527","0","0.925","0.075"
"2017-09-01","0.836","0.082","0.722","0.195"
"2017-09-02","0.91","0.071","0.766","0.164"
"2017-09-03","0.718","0.059","0.784","0.157"
"2017-09-04","0.982","0.032","0.745","0.223"
"2017-09-05","0.169","0","0.958","0.042"
"2017-09-06","0.791","0.041","0.749","0.21"
"2017-09-07","0.844","0","0.882","0.118"
"2017-09-08","0.9","0.015","0.867","0.117"
"2017-09-09","0.813","0","0.851","0.149"
"2017-09-10","0.382","0.033","0.877","0.09"
"2017-09-11","0.79","0.046","0.771","0.183"
"2017-09-12","0.751","0.035","0.819","0.146"
"2017-09-13","0.676","0","0.902","0.098"
"2017-09-14","0.802","0.061","0.77","0.168"
"2017-09-15","0.052","0.067","0.843","0.09"
"2017-09-16","0.9","0.02","0.864","0.116"
"2017-09-17","0.871","0.046","0.764","0.19"
"2017-09-18","0.691","0.027","0.878","0.095"
"2017-09-19","0.948","0.034","0.781","0.185"
"2017-09-20","0.66","0.073","0.75","0.177"
"2017-09-21","0.226","0.064","0.849","0.087"
"2017-09-22","0.825","0.129","0.677","0.194"
"2017-09-23","0.964","0","0.75","0.25"
"2017-09-24","0.932","0.045","0.761","0.194"
"2017-09-25","0.949","0","0.719","0.281"
"2017-09-26","0.929","0.029","0.715","0.257"
"2017-09-27","-0.25","0.085","0.83","0.085"
"2017-09-28","0.813","0.027","0.819","0.154"
"2017-09-29","0.768","0.026","0.86","0.114"
"2017-09-30","0.785","0.036","0.815","0.149"
"2017-10-01","0.864","0","0.812","0.188"
"2017-10-02","-0.558","0.114","0.826","0.06"
"2017-10-03","0.903","0.114","0.625","0.261"
"2017-10-04","0.052","0.035","0.926","0.039"
"2017-10-05","0.836","0.12","0.69","0.19"
"2017-10-06","-0.421","0.051","0.927","0.022"
"2017-10-07","-0.796","0.188","0.651","0.16"
"2017-10-08","0.459","0.073","0.769","0.158"
"2017-10-09","0.851","0.072","0.784","0.144"
"2017-10-10","0.859","0.039","0.831","0.13"
"2017-10-11","0.735","0","0.894","0.106"
"2017-10-12","0.382","0.067","0.813","0.12"
"2017-10-13","-0.128","0.079","0.867","0.054"
"2017-10-14","0.976","0","0.743","0.257"
"2017-10-15","-0.718","0.2","0.685","0.115"
"2017-10-16","0.923","0","0.768","0.232"
"2017-10-17","0.862","0.101","0.702","0.197"
"2017-10-18","0.951","0","0.736","0.264"
"2017-10-19","-0.557","0.209","0.62","0.171"
"2017-10-20","0.727","0.105","0.723","0.172"
"2017-10-21","-0.421","0.083","0.872","0.045"
"2017-10-22","0.588","0.033","0.878","0.089"
"2017-10-23","-0.748","0.158","0.742","0.1"
"2017-10-24","0.955","0.049","0.727","0.223"
"2017-10-25","0.902","0.078","0.734","0.188"
"2017-10-26","0.791","0","0.907","0.093"
"2017-10-27","0.511","0","0.947","0.053"
"2017-10-28","0.82","0.023","0.859","0.118"
"2017-10-29","0.25","0.07","0.828","0.102"
"2017-10-30","0.743","0.031","0.837","0.132"
"2017-10-31","0.744","0.067","0.756","0.178"
"2017-11-01","0.427","0.157","0.651","0.193"
"2017-11-02","-0.057","0.089","0.833","0.078"
"2017-11-03","0.026","0.123","0.753","0.124"
"2017-11-04","0.957","0.018","0.726","0.256"
"2017-11-05","0.66","0","0.931","0.069"
"2017-11-06","-0.494","0.106","0.854","0.04"
"2017-11-07","0.807","0.023","0.843","0.134"
"2017-11-08","-0.821","0.153","0.847","0"
"2017-11-09","0.956","0","0.857","0.143"
"2017-11-10","0.34","0.039","0.88","0.081"
"2017-11-11","0.841","0.058","0.828","0.114"
"2017-11-12","0.681","0.056","0.832","0.112"
"2017-11-13","0.936","0.036","0.77","0.194"
"2017-11-14","-0.026","0.082","0.837","0.081"
"2017-11-15","-0.579","0.167","0.688","0.146"
"2017-11-16","0.942","0","0.816","0.184"
"2017-11-17","0.459","0.133","0.699","0.168"
