"Date","Comp","Negative","Neutral","Positive"
"2017-04-01","-0.477","0.06","0.94","0"
"2017-04-02","0.318","0.067","0.796","0.138"
"2017-04-03","-0.96","0.183","0.817","0"
"2017-04-04","0.718","0","0.917","0.083"
"2017-04-05","0.34","0.024","0.927","0.049"
"2017-04-06","-0.856","0.148","0.811","0.042"
"2017-04-07","0.625","0.094","0.75","0.156"
"2017-04-08","0.359","0.063","0.846","0.09"
"2017-04-09","0.361","0","0.961","0.039"
"2017-04-10","0.25","0.079","0.817","0.104"
"2017-04-11","0.551","0.049","0.801","0.15"
"2017-04-12","0.718","0.049","0.817","0.134"
"2017-04-13","-0.251","0.05","0.911","0.039"
"2017-04-14","-0.94","0.156","0.804","0.04"
"2017-04-15","0","0.039","0.921","0.039"
"2017-04-16","0","0","1","0"
"2017-04-17","0.813","0.018","0.811","0.172"
"2017-04-18","0.701","0.03","0.851","0.119"
"2017-04-19","0.919","0.013","0.863","0.124"
"2017-04-20","0","0","1","0"
"2017-04-21","0.965","0.014","0.826","0.16"
"2017-04-22","0.637","0","0.87","0.13"
"2017-04-23","-0.572","0.148","0.771","0.081"
"2017-04-24","-0.178","0.054","0.925","0.021"
"2017-04-25","0.951","0","0.803","0.197"
"2017-04-26","0.982","0","0.696","0.304"
"2017-04-27","0.318","0","0.972","0.028"
"2017-04-28","0.743","0.023","0.849","0.128"
"2017-04-29","0.382","0","0.926","0.074"
"2017-04-30","0.66","0","0.865","0.135"
"2017-05-01","0.572","0","0.942","0.058"
"2017-05-02","0.901","0","0.82","0.18"
"2017-05-03","0.797","0.038","0.808","0.153"
"2017-05-04","0.296","0.106","0.769","0.125"
"2017-05-05","0.759","0.038","0.821","0.141"
"2017-05-06","-0.178","0.048","0.917","0.036"
"2017-05-07","0.67","0","0.912","0.088"
"2017-05-08","0.914","0","0.758","0.242"
"2017-05-09","0.893","0.029","0.792","0.179"
"2017-05-10","0.779","0.026","0.884","0.09"
"2017-05-11","0.527","0","0.929","0.071"
"2017-05-12","0.844","0.078","0.692","0.23"
"2017-05-13","0.916","0","0.713","0.287"
"2017-05-14","-0.128","0.054","0.902","0.044"
"2017-05-15","0.735","0","0.894","0.106"
"2017-05-16","-0.178","0.045","0.906","0.049"
"2017-05-17","0.93","0","0.796","0.204"
"2017-05-18","-0.572","0.148","0.748","0.103"
"2017-05-19","0.84","0.037","0.794","0.169"
"2017-05-20","0","0","1","0"
"2017-05-21","0.44","0.131","0.702","0.167"
"2017-05-22","0.612","0.052","0.831","0.116"
"2017-05-23","0.758","0","0.895","0.105"
"2017-05-24","-0.459","0.112","0.845","0.043"
"2017-05-25","0.612","0.046","0.87","0.084"
"2017-05-26","0.889","0","0.837","0.163"
"2017-05-27","0.557","0.067","0.826","0.107"
"2017-05-28","0.941","0.029","0.773","0.198"
"2017-05-29","0.936","0","0.814","0.186"
"2017-05-30","0.511","0.065","0.828","0.107"
"2017-05-31","0.743","0","0.91","0.09"
"2017-06-01","0.872","0","0.86","0.14"
"2017-06-02","0.903","0.048","0.797","0.155"
"2017-06-03","-0.077","0.084","0.837","0.079"
"2017-06-04","0.791","0.034","0.842","0.124"
"2017-06-05","0.178","0.058","0.886","0.056"
"2017-06-06","0.869","0","0.847","0.153"
"2017-06-07","0.796","0.059","0.802","0.14"
"2017-06-08","0.802","0.054","0.802","0.144"
"2017-06-09","-0.34","0.12","0.779","0.101"
"2017-06-10","0.527","0.092","0.76","0.148"
"2017-06-11","0.619","0.036","0.83","0.134"
"2017-06-12","-0.052","0.045","0.912","0.042"
"2017-06-13","0.844","0.025","0.834","0.14"
"2017-06-14","0.973","0.042","0.695","0.264"
"2017-06-15","0.67","0.032","0.856","0.112"
"2017-06-16","0.511","0","0.919","0.081"
"2017-06-17","0.965","0","0.664","0.336"
"2017-06-18","0.869","0","0.856","0.144"
"2017-06-19","0.66","0","0.93","0.07"
"2017-06-20","0.968","0.107","0.654","0.239"
"2017-06-21","-0.889","0.14","0.819","0.041"
"2017-06-22","0.599","0.08","0.773","0.147"
"2017-06-23","0.785","0","0.835","0.165"
"2017-06-24","0","0","1","0"
"2017-06-25","0.402","0","0.959","0.041"
"2017-06-26","0.273","0","0.977","0.023"
"2017-06-27","0.557","0.038","0.86","0.102"
"2017-06-28","0.896","0","0.845","0.155"
"2017-06-29","-0.44","0.041","0.959","0"
"2017-06-30","0.71","0","0.874","0.126"
"2017-07-01","0.7","0","0.906","0.094"
"2017-07-02","0.511","0.051","0.832","0.116"
"2017-07-03","0.934","0.035","0.797","0.168"
"2017-07-04","0.807","0","0.885","0.115"
"2017-07-05","-0.557","0.065","0.935","0"
"2017-07-06","0.986","0","0.686","0.314"
"2017-07-07","0.974","0","0.664","0.336"
"2017-07-08","0.961","0","0.852","0.148"
"2017-07-09","0.84","0.023","0.818","0.159"
"2017-07-10","0.807","0","0.815","0.185"
"2017-07-11","0.954","0.041","0.743","0.216"
"2017-07-12","0.511","0.058","0.8","0.142"
"2017-07-13","0.649","0.053","0.818","0.129"
"2017-07-14","0.889","0","0.905","0.095"
"2017-07-15","0.765","0","0.893","0.107"
"2017-07-16","0.128","0.106","0.769","0.125"
"2017-07-17","0.785","0.067","0.738","0.194"
"2017-07-18","0.765","0","0.909","0.091"
"2017-07-19","0.987","0.046","0.473","0.481"
"2017-07-20","0.929","0.088","0.64","0.271"
"2017-07-21","0.931","0","0.713","0.287"
"2017-07-22","0.878","0","0.846","0.154"
"2017-07-23","0.361","0","0.964","0.036"
"2017-07-24","0.962","0.024","0.6","0.376"
"2017-07-25","0.976","0","0.538","0.462"
