"Date","Comp","Negative","Neutral","Positive"
"2017-04-01","0.967","0.075","0.746","0.179"
"2017-04-02","0.987","0.015","0.784","0.202"
"2017-04-03","0.941","0.046","0.785","0.169"
"2017-04-04","0.542","0.084","0.784","0.133"
"2017-04-05","0.968","0.022","0.766","0.212"
"2017-04-06","0.984","0.027","0.757","0.216"
"2017-04-07","0.527","0.042","0.888","0.07"
"2017-04-08","0.527","0.057","0.812","0.131"
"2017-04-09","0.968","0.051","0.792","0.156"
"2017-04-10","0.943","0.034","0.849","0.116"
"2017-04-11","0.026","0.067","0.828","0.106"
"2017-04-12","0.807","0.055","0.817","0.128"
"2017-04-13","-0.077","0.079","0.826","0.096"
"2017-04-14","0.421","0.089","0.811","0.101"
"2017-04-15","0.991","0.034","0.737","0.229"
"2017-04-16","0.981","0.046","0.736","0.218"
"2017-04-17","0.977","0","0.834","0.166"
"2017-04-18","0.908","0.071","0.762","0.168"
"2017-04-19","0.942","0","0.928","0.072"
"2017-04-20","0.318","0.074","0.828","0.098"
"2017-04-21","0.974","0.067","0.705","0.228"
"2017-04-22","0.856","0.022","0.881","0.098"
"2017-04-23","0.758","0.031","0.873","0.096"
"2017-04-24","0.894","0.043","0.854","0.104"
"2017-04-25","0.103","0.056","0.845","0.099"
"2017-04-26","-0.768","0.115","0.809","0.075"
"2017-04-27","0.966","0.05","0.747","0.204"
"2017-04-28","-0.612","0.098","0.816","0.086"
"2017-04-29","0.949","0.041","0.788","0.17"
"2017-04-30","0.923","0.017","0.865","0.118"
"2017-05-01","0.914","0.081","0.743","0.177"
"2017-05-02","0.942","0.065","0.7","0.235"
"2017-05-03","0.963","0.057","0.778","0.165"
"2017-05-04","0.886","0.06","0.817","0.123"
"2017-05-05","0.944","0.014","0.847","0.14"
"2017-05-06","0.931","0.083","0.727","0.19"
"2017-05-07","0.991","0.047","0.723","0.23"
"2017-05-08","-0.681","0.104","0.803","0.093"
"2017-05-09","0.958","0.073","0.756","0.172"
"2017-05-10","0.959","0","0.863","0.137"
"2017-05-11","-0.612","0.072","0.88","0.048"
"2017-05-12","-0.34","0.08","0.832","0.088"
"2017-05-13","0.965","0.028","0.808","0.163"
"2017-05-14","0.889","0.053","0.82","0.128"
"2017-05-15","0.95","0.022","0.848","0.129"
"2017-05-16","0.743","0.067","0.793","0.139"
"2017-05-17","0.889","0.022","0.881","0.097"
"2017-05-18","0.494","0.096","0.774","0.13"
"2017-05-19","0.961","0.055","0.78","0.165"
"2017-05-20","0.968","0.044","0.774","0.181"
"2017-05-21","0.922","0.023","0.828","0.149"
"2017-05-22","0.935","0.019","0.808","0.173"
"2017-05-23","0.457","0.066","0.847","0.087"
"2017-05-24","0.957","0.111","0.677","0.212"
"2017-05-25","0.908","0.068","0.787","0.145"
"2017-05-26","0.36","0.067","0.836","0.097"
"2017-05-27","0.718","0.064","0.824","0.112"
"2017-05-28","0.856","0.053","0.83","0.116"
"2017-05-29","0.872","0.068","0.8","0.132"
"2017-05-30","0.958","0.039","0.824","0.137"
"2017-05-31","0.936","0.018","0.855","0.127"
"2017-06-01","0.964","0.058","0.749","0.193"
"2017-06-02","0.982","0.037","0.78","0.183"
"2017-06-03","-0.36","0.139","0.726","0.135"
"2017-06-04","0.856","0.07","0.785","0.145"
"2017-06-05","0.854","0.041","0.838","0.121"
"2017-06-06","-0.818","0.105","0.839","0.056"
"2017-06-07","0.943","0.008","0.862","0.13"
"2017-06-08","0.772","0.049","0.841","0.11"
"2017-06-09","0.985","0.045","0.715","0.24"
"2017-06-10","0.932","0.053","0.803","0.144"
"2017-06-11","0.975","0.052","0.766","0.182"
"2017-06-12","0.789","0.084","0.776","0.139"
"2017-06-13","-0.901","0.151","0.762","0.087"
"2017-06-14","-0.757","0.115","0.802","0.083"
"2017-06-15","0.296","0.036","0.905","0.059"
"2017-06-16","0.859","0.07","0.803","0.128"
"2017-06-17","0.979","0.017","0.795","0.188"
"2017-06-18","0.979","0.077","0.655","0.268"
"2017-06-19","0.772","0.07","0.796","0.134"
"2017-06-20","0.926","0.038","0.804","0.158"
"2017-06-21","0.961","0.058","0.719","0.223"
"2017-06-22","0.951","0.105","0.688","0.207"
"2017-06-23","0.988","0.023","0.777","0.201"
"2017-06-24","0.966","0.011","0.846","0.143"
"2017-06-25","0.952","0.021","0.833","0.146"
"2017-06-26","0.077","0.089","0.794","0.117"
"2017-06-27","0.979","0.014","0.757","0.229"
"2017-06-28","0.67","0.049","0.838","0.113"
"2017-06-29","0.872","0.042","0.841","0.117"
"2017-06-30","0.246","0.046","0.893","0.061"
"2017-07-01","0.955","0.023","0.861","0.116"
"2017-07-02","0.925","0.065","0.787","0.149"
"2017-07-03","0.983","0","0.864","0.136"
"2017-07-04","0.961","0","0.832","0.168"
"2017-07-05","0.955","0","0.838","0.162"
"2017-07-06","0.913","0.039","0.834","0.127"
"2017-07-07","0.735","0.031","0.881","0.087"
"2017-07-08","0.957","0.022","0.841","0.137"
"2017-07-09","-0.361","0.098","0.806","0.096"
"2017-07-10","0.978","0.031","0.736","0.233"
"2017-07-11","0.912","0.032","0.856","0.112"
"2017-07-12","0.785","0.092","0.759","0.149"
"2017-07-13","0.987","0.042","0.724","0.233"
"2017-07-14","0.94","0.015","0.847","0.138"
"2017-07-15","0.985","0.018","0.802","0.18"
"2017-07-16","0.973","0.035","0.774","0.192"
"2017-07-17","0.34","0.06","0.851","0.089"
"2017-07-18","0.992","0.012","0.715","0.274"
"2017-07-19","0.893","0.025","0.849","0.127"
"2017-07-20","0.361","0.089","0.805","0.106"
"2017-07-21","0.859","0.121","0.7","0.179"
"2017-07-22","0.978","0.005","0.824","0.171"
"2017-07-23","0.84","0.033","0.858","0.109"
