"Date","Comp","Negative","Neutral","Positive"
"2017-04-01","-0.637","0.103","0.855","0.041"
"2017-04-02","0.727","0.032","0.827","0.141"
"2017-04-03","0.459","0.02","0.912","0.068"
"2017-04-04","-0.153","0.035","0.965","0"
"2017-04-05","0.586","0","0.876","0.124"
"2017-04-06","0.511","0","0.952","0.048"
"2017-04-07","0.599","0","0.898","0.102"
"2017-04-08","-0.296","0.058","0.942","0"
"2017-04-09","-0.542","0.126","0.811","0.063"
"2017-04-10","-0.026","0.017","0.983","0"
"2017-04-11","0.71","0","0.902","0.098"
"2017-04-12","0.878","0.066","0.724","0.209"
"2017-04-13","-0.052","0.059","0.886","0.055"
"2017-04-14","0.336","0.064","0.84","0.096"
"2017-04-15","-0.026","0.041","0.92","0.039"
"2017-04-16","0","0","1","0"
"2017-04-17","0.296","0.07","0.833","0.096"
"2017-04-18","0.477","0","0.928","0.072"
"2017-04-19","0.802","0.066","0.743","0.191"
"2017-04-20","0.421","0","0.924","0.076"
"2017-04-21","0","0","1","0"
"2017-04-22","-0.71","0.132","0.835","0.033"
"2017-04-23","-0.077","0.052","0.901","0.046"
"2017-04-24","0.318","0.089","0.806","0.106"
"2017-04-25","0.296","0.053","0.89","0.056"
"2017-04-26","0.758","0","0.903","0.097"
"2017-04-27","0.402","0.029","0.911","0.06"
"2017-04-28","-0.226","0.055","0.905","0.04"
"2017-04-29","0.718","0.05","0.825","0.124"
"2017-04-30","0.67","0.025","0.848","0.127"
"2017-05-01","0.802","0","0.837","0.163"
"2017-05-02","0.758","0","0.808","0.192"
"2017-05-03","-0.494","0.097","0.903","0"
"2017-05-04","0.296","0","0.955","0.045"
"2017-05-05","0.477","0.024","0.916","0.06"
"2017-05-06","-0.103","0.073","0.841","0.086"
"2017-05-07","0","0","1","0"
"2017-05-08","-0.572","0.091","0.864","0.044"
"2017-05-09","0.402","0","0.951","0.049"
"2017-05-10","-0.103","0.035","0.938","0.027"
"2017-05-11","0.25","0","0.968","0.032"
"2017-05-12","0.637","0","0.885","0.115"
"2017-05-13","0.557","0","0.877","0.123"
"2017-05-14","-0.941","0.273","0.727","0"
"2017-05-15","0.41","0.081","0.799","0.12"
"2017-05-16","-0.077","0.097","0.811","0.092"
"2017-05-17","0.402","0","0.952","0.048"
"2017-05-18","-0.153","0.067","0.881","0.052"
"2017-05-19","-0.273","0.085","0.87","0.045"
"2017-05-20","0.822","0","0.858","0.142"
"2017-05-21","0.296","0","0.976","0.024"
"2017-05-22","0.026","0.022","0.94","0.038"
"2017-05-23","-0.91","0.173","0.827","0"
"2017-05-24","0.318","0","0.947","0.053"
"2017-05-25","0.743","0","0.879","0.121"
"2017-05-26","0.836","0","0.815","0.185"
"2017-05-27","0.077","0.041","0.912","0.046"
"2017-05-28","0.869","0.069","0.738","0.193"
"2017-05-29","0.949","0.034","0.662","0.304"
"2017-05-30","0.691","0","0.883","0.117"
"2017-05-31","0","0","1","0"
"2017-06-01","0.382","0","0.938","0.062"
"2017-06-02","-0.153","0.077","0.859","0.064"
"2017-06-03","0.34","0","0.951","0.049"
"2017-06-04","0.931","0","0.832","0.168"
"2017-06-05","0.202","0.044","0.886","0.069"
"2017-06-06","0.318","0.036","0.888","0.076"
"2017-06-07","0.893","0","0.764","0.236"
"2017-06-08","-0.296","0.064","0.899","0.037"
"2017-06-09","-0.34","0.116","0.795","0.089"
"2017-06-10","0.66","0.017","0.913","0.07"
"2017-06-11","-0.778","0.114","0.886","0"
"2017-06-12","-0.511","0.104","0.849","0.047"
"2017-06-13","-0.844","0.193","0.807","0"
"2017-06-14","-0.542","0.148","0.766","0.086"
"2017-06-15","-0.495","0.116","0.841","0.043"
"2017-06-16","-0.103","0.059","0.891","0.051"
"2017-06-17","0.178","0.119","0.768","0.114"
"2017-06-18","0.226","0.092","0.78","0.129"
"2017-06-19","0.421","0","0.97","0.03"
"2017-06-20","-0.796","0.159","0.803","0.038"
"2017-06-21","0.052","0.105","0.75","0.145"
"2017-06-22","0.937","0","0.803","0.197"
"2017-06-23","0.778","0.039","0.791","0.17"
"2017-06-24","0.785","0.038","0.813","0.148"
"2017-06-25","-0.226","0.074","0.874","0.053"
"2017-06-26","0.481","0.16","0.622","0.219"
"2017-06-27","0.751","0","0.862","0.138"
"2017-06-28","0.772","0.057","0.741","0.203"
"2017-06-29","0.637","0","0.906","0.094"
"2017-06-30","0.511","0","0.901","0.099"
"2017-07-01","0.586","0","0.918","0.082"
"2017-07-02","0.727","0","0.882","0.118"
"2017-07-03","-0.273","0.074","0.926","0"
"2017-07-04","0.402","0.031","0.903","0.066"
"2017-07-05","0.202","0.037","0.897","0.066"
"2017-07-06","0.807","0.092","0.703","0.205"
"2017-07-07","-0.273","0.049","0.951","0"
"2017-07-08","0","0","1","0"
"2017-07-09","0.915","0.025","0.78","0.194"
"2017-07-10","0.153","0.038","0.912","0.049"
"2017-07-11","-0.077","0.063","0.879","0.058"
"2017-07-12","0.822","0","0.802","0.198"
"2017-07-13","0","0.062","0.876","0.062"
"2017-07-14","0.318","0","0.966","0.034"
"2017-07-15","0.421","0","0.959","0.041"
"2017-07-16","-0.128","0.03","0.97","0"
"2017-07-17","0.296","0","0.929","0.071"
"2017-07-18","0.103","0.052","0.877","0.071"
"2017-07-19","0.402","0.036","0.902","0.062"
"2017-07-20","0.881","0.043","0.714","0.243"
"2017-07-21","-0.226","0.105","0.805","0.09"
"2017-07-22","0.832","0","0.808","0.192"
"2017-07-23","0.649","0","0.895","0.105"
"2017-07-24","0.002","0.094","0.789","0.116"
"2017-07-25","0.863","0","0.814","0.186"
"2017-07-26","-0.459","0.049","0.951","0"
"2017-07-27","0.751","0","0.899","0.101"
"2017-07-28","0.361","0.06","0.821","0.119"
"2017-07-29","0.802","0","0.84","0.16"
"2017-07-30","0.822","0","0.856","0.144"
"2017-07-31","-0.178","0.097","0.817","0.085"
"2017-08-01","0.856","0","0.875","0.125"
"2017-08-02","0.66","0","0.906","0.094"
"2017-08-03","0.318","0","0.949","0.051"
"2017-08-04","0.852","0.019","0.832","0.149"
"2017-08-05","0.765","0.027","0.83","0.143"
"2017-08-06","0.818","0","0.821","0.179"
"2017-08-07","0","0","1","0"
"2017-08-08","0.791","0","0.886","0.114"
"2017-08-09","0.66","0","0.93","0.07"
"2017-08-10","0.318","0.127","0.713","0.159"
"2017-08-11","-0.743","0.167","0.803","0.03"
"2017-08-12","0.866","0.018","0.813","0.168"
"2017-08-13","0.44","0","0.952","0.048"
"2017-08-14","0.382","0","0.939","0.061"
"2017-08-15","0.361","0","0.941","0.059"
"2017-08-16","0.542","0.105","0.739","0.157"
"2017-08-17","0.557","0","0.931","0.069"
"2017-08-18","0.103","0","0.969","0.031"
"2017-08-19","-0.25","0.057","0.943","0"
"2017-08-20","0.103","0.026","0.941","0.033"
"2017-08-21","0.822","0.033","0.826","0.141"
"2017-08-22","0.765","0","0.864","0.136"
"2017-08-23","0","0.044","0.913","0.044"
"2017-08-24","0.511","0.077","0.8","0.123"
"2017-08-25","-0.026","0.04","0.922","0.037"
"2017-08-26","0.852","0","0.782","0.218"
"2017-08-27","0","0","1","0"
"2017-08-28","0.67","0.053","0.837","0.11"
"2017-08-29","0.382","0","0.945","0.055"
"2017-08-30","0.866","0.034","0.757","0.209"
"2017-08-31","0.527","0","0.914","0.086"
"2017-09-01","0.751","0.051","0.8","0.149"
"2017-09-02","0.954","0","0.686","0.314"
"2017-09-03","0.71","0","0.909","0.091"
"2017-09-04","0.765","0","0.906","0.094"
"2017-09-05","0.572","0.024","0.886","0.09"
"2017-09-06","0.802","0","0.843","0.157"
"2017-09-07","0.511","0.042","0.862","0.096"
"2017-09-08","0.866","0","0.793","0.207"
"2017-09-09","0.878","0","0.783","0.217"
"2017-09-10","0.44","0","0.935","0.065"
"2017-09-11","0.586","0","0.907","0.093"
"2017-09-12","0.818","0.024","0.832","0.144"
"2017-09-13","0.66","0.074","0.773","0.153"
"2017-09-14","-0.459","0.08","0.87","0.05"
"2017-09-15","0.402","0","0.941","0.059"
"2017-09-16","0.178","0.041","0.906","0.052"
"2017-09-17","0.84","0.019","0.873","0.108"
"2017-09-18","0.103","0","0.968","0.032"
"2017-09-19","-0.599","0.135","0.785","0.08"
"2017-09-20","-0.649","0.115","0.801","0.084"
"2017-09-21","-0.494","0.104","0.819","0.077"
"2017-09-22","0.813","0","0.879","0.121"
"2017-09-23","0.668","0","0.891","0.109"
"2017-09-24","0.927","0","0.823","0.177"
"2017-09-25","0.296","0.082","0.82","0.098"
"2017-09-26","0.077","0","0.979","0.021"
"2017-09-27","0.66","0","0.913","0.087"
"2017-09-28","0.796","0","0.835","0.165"
"2017-09-29","0.637","0.05","0.839","0.111"
"2017-09-30","0.382","0","0.944","0.056"
"2017-10-01","-0.765","0.102","0.898","0"
"2017-10-02","0","0","1","0"
"2017-10-03","-0.477","0.074","0.883","0.043"
"2017-10-04","0.902","0.051","0.806","0.143"
"2017-10-05","0.202","0","0.971","0.029"
"2017-10-06","0","0","1","0"
"2017-10-07","0.943","0.042","0.777","0.18"
"2017-10-08","0.612","0.047","0.859","0.094"
"2017-10-09","0.691","0","0.851","0.149"
"2017-10-10","0.402","0.064","0.808","0.128"
"2017-10-11","0.681","0.028","0.862","0.11"
"2017-10-12","0.778","0","0.885","0.115"
"2017-10-13","0.934","0.046","0.696","0.258"
"2017-10-14","0.625","0","0.895","0.105"
"2017-10-15","0.557","0.025","0.9","0.075"
"2017-10-16","0.92","0","0.775","0.225"
"2017-10-17","0.599","0.044","0.838","0.118"
"2017-10-18","0.637","0","0.89","0.11"
"2017-10-19","0.841","0","0.876","0.124"
"2017-10-20","0.772","0","0.908","0.092"
"2017-10-21","0.586","0","0.902","0.098"
"2017-10-22","0.494","0.044","0.865","0.091"
"2017-10-23","0","0","1","0"
"2017-10-24","0.691","0.051","0.793","0.156"
"2017-10-25","0.718","0","0.875","0.125"
"2017-10-26","0.67","0","0.933","0.067"
"2017-10-27","0.801","0.054","0.818","0.129"
"2017-10-28","0.477","0","0.958","0.042"
"2017-10-29","0.968","0","0.75","0.25"
"2017-10-30","0","0","1","0"
"2017-10-31","0.625","0","0.938","0.062"
"2017-11-01","0.026","0.053","0.875","0.071"
"2017-11-02","0.735","0.023","0.867","0.11"
"2017-11-03","0.494","0","0.943","0.057"
"2017-11-04","0.832","0.074","0.724","0.202"
"2017-11-05","0.866","0","0.789","0.211"
"2017-11-06","0.889","0","0.836","0.164"
"2017-11-07","0.972","0.069","0.648","0.284"
"2017-11-08","0.91","0.015","0.827","0.158"
"2017-11-09","0.93","0.037","0.805","0.158"
"2017-11-10","0.44","0.031","0.899","0.07"
"2017-11-11","0.832","0","0.87","0.13"
"2017-11-12","-0.361","0.043","0.957","0"
"2017-11-13","0.644","0","0.927","0.073"
"2017-11-14","0.964","0.025","0.732","0.243"
"2017-11-15","0.986","0.024","0.838","0.138"
"2017-11-16","0.832","0","0.847","0.153"
"2017-11-17","-0.92","0.175","0.742","0.083"
"2017-11-18","0.97","0","0.785","0.215"
"2017-11-19","0.893","0","0.836","0.164"
"2017-11-20","0.827","0.026","0.868","0.106"
"2017-11-21","0.296","0","0.976","0.024"
"2017-11-22","-0.103","0.055","0.908","0.037"
"2017-11-23","0","0","1","0"
"2017-11-24","0.752","0.039","0.834","0.128"
"2017-11-25","-0.077","0.052","0.911","0.037"
"2017-11-26","0.398","0.132","0.725","0.143"
"2017-11-27","0.612","0.025","0.896","0.079"
"2017-11-28","0.421","0.091","0.797","0.112"
"2017-11-29","0.827","0.017","0.855","0.128"
"2017-11-30","0.886","0","0.9","0.1"
"2017-12-01","-0.727","0.068","0.932","0"
"2017-12-02","0.296","0.029","0.914","0.057"
"2017-12-03","0.9","0","0.817","0.183"
"2017-12-04","0.542","0.084","0.805","0.111"
"2017-12-05","0.933","0","0.762","0.238"
"2017-12-06","0.844","0","0.87","0.13"
"2017-12-07","0.742","0.034","0.879","0.087"
"2017-12-08","0.44","0","0.956","0.044"
"2017-12-09","0.494","0.036","0.872","0.091"
"2017-12-10","0.886","0","0.79","0.21"
"2017-12-11","-0.273","0.031","0.969","0"
"2017-12-12","0.886","0","0.87","0.13"
"2017-12-13","0.296","0","0.982","0.018"
"2017-12-14","-0.296","0.029","0.971","0"
"2017-12-15","0.881","0.085","0.742","0.172"
"2017-12-16","-0.34","0.122","0.75","0.128"
"2017-12-17","0.612","0","0.9","0.1"
"2017-12-18","0.959","0.028","0.729","0.243"
"2017-12-19","0.961","0.06","0.642","0.298"
"2017-12-20","0.906","0.041","0.8","0.158"
"2017-12-21","0.71","0.028","0.882","0.09"
"2017-12-22","-0.128","0.027","0.942","0.031"
"2017-12-23","0.923","0","0.827","0.173"
"2017-12-24","0.952","0.036","0.777","0.187"
